pairs	target	gold	order	distractors	full_sent	prefix	sent
3351	extend	extend	x	1	Parts of the lake extend into washington county, arkansas and madison county, arkansas.	Parts of the lake	Parts of the lake extend
3351	extends	extend	y	1	Parts of the lake extend into washington county, arkansas and madison county, arkansas.	Parts of the lake	Parts of the lake extends
3352	is	is	x	0	This statue is a hybrid of an ancient grey marble torso, and cordier's white marble and gilded bronze.	This statue	This statue is
3352	are	is	y	0	This statue is a hybrid of an ancient grey marble torso, and cordier's white marble and gilded bronze.	This statue	This statue are
3353	is	is	x	0	In fact, a program is a subsystem plus one or more activities.	In fact, a program	In fact, a program is
3353	are	is	y	0	In fact, a program is a subsystem plus one or more activities.	In fact, a program	In fact, a program are
3354	hold	hold	x	4	This postulate stemmed from the assumption that maxwell's equations of electromagnetism, which predict a specific speed of light in a vacuum, hold in any inertial frame of reference rather than, as was previously believed, just in the frame of the aether.	This postulate stemmed from the assumption that maxwell's equations of electromagnetism, which predict a specific speed of light in a vacuum,	This postulate stemmed from the assumption that maxwell's equations of electromagnetism, which predict a specific speed of light in a vacuum, hold
3354	holds	hold	y	4	This postulate stemmed from the assumption that maxwell's equations of electromagnetism, which predict a specific speed of light in a vacuum, hold in any inertial frame of reference rather than, as was previously believed, just in the frame of the aether.	This postulate stemmed from the assumption that maxwell's equations of electromagnetism, which predict a specific speed of light in a vacuum,	This postulate stemmed from the assumption that maxwell's equations of electromagnetism, which predict a specific speed of light in a vacuum, holds
3355	use	use	x	0	In the wii version, players use the wii remote, in combination with either the nunchuk or another wii remote.	In the wii version, players	In the wii version, players use
3355	uses	use	y	0	In the wii version, players use the wii remote, in combination with either the nunchuk or another wii remote.	In the wii version, players	In the wii version, players uses
3356	are	are	x	3	Specific habitat features, structure, and shoreline development are not particular concern for bay anchovy, but hydrographic features that affect water quality could limit its distribution and abundance.	Specific habitat features, structure, and shoreline development	Specific habitat features, structure, and shoreline development are
3356	is	are	y	3	Specific habitat features, structure, and shoreline development are not particular concern for bay anchovy, but hydrographic features that affect water quality could limit its distribution and abundance.	Specific habitat features, structure, and shoreline development	Specific habitat features, structure, and shoreline development is
3357	are	are	x	2	Thus, these comments about edit count are null, he knows what should be done.	Thus, these comments about edit count	Thus, these comments about edit count are
3357	is	are	y	2	Thus, these comments about edit count are null, he knows what should be done.	Thus, these comments about edit count	Thus, these comments about edit count is
