pairs	order	P	T	prime	target
902	y	Active	Passive	the lawyer forgives the mayor.	a wire was smelled by a champion.
903	y	Passive	Active	the mayor is forgiven by the lawyer.	a champion smelled a wire.
903	x	Active	Active	the lawyer forgives the mayor.	a champion smelled a wire.
904	x	Passive	Passive	the cheese is eaten by the minister.	a wire was smelled by a champion.
904	y	Active	Passive	the minister eats the cheese.	a wire was smelled by a champion.
905	y	Passive	Active	the cheese is eaten by the minister.	a champion smelled a wire.
905	x	Active	Active	the minister eats the cheese.	a champion smelled a wire.
906	x	Passive	Passive	the tea is purchased by the club.	a wire was smelled by a champion.
906	y	Active	Passive	the club purchases the tea.	a wire was smelled by a champion.
907	y	Passive	Active	the tea is purchased by the club.	a champion smelled a wire.
907	x	Active	Active	the club purchases the tea.	a champion smelled a wire.
908	x	Passive	Passive	the priest is understood by the kid.	a wire was smelled by a champion.
908	y	Active	Passive	the kid understands the priest.	a wire was smelled by a champion.
909	y	Passive	Active	the priest is understood by the kid.	a champion smelled a wire.
909	x	Active	Active	the kid understands the priest.	a champion smelled a wire.
910	x	Passive	Passive	the bag is broken by the secretary.	a wire was smelled by a champion.
910	y	Active	Passive	the secretary breaks the bag.	a wire was smelled by a champion.
911	y	Passive	Active	the bag is broken by the secretary.	a champion smelled a wire.
911	x	Active	Active	the secretary breaks the bag.	a champion smelled a wire.
912	x	Passive	Passive	the student is hurt by the son.	a wire was smelled by a champion.
912	y	Active	Passive	the son hurts the student.	a wire was smelled by a champion.
913	y	Passive	Active	the student is hurt by the son.	a champion smelled a wire.
913	x	Active	Active	the son hurts the student.	a champion smelled a wire.
914	x	Passive	Passive	the opponent is dragged by the attorney.	a wire was smelled by a champion.
914	y	Active	Passive	the attorney drags the opponent.	a wire was smelled by a champion.
915	y	Passive	Active	the opponent is dragged by the attorney.	a champion smelled a wire.
915	x	Active	Active	the attorney drags the opponent.	a champion smelled a wire.
916	x	Passive	Passive	the student is hurried by the minister.	a wire was smelled by a champion.
916	y	Active	Passive	the minister hurries the student.	a wire was smelled by a champion.
917	y	Passive	Active	the student is hurried by the minister.	a champion smelled a wire.
917	x	Active	Active	the minister hurries the student.	a champion smelled a wire.
918	x	Passive	Passive	the coffee is caught by the actor.	a wire was smelled by a champion.
918	y	Active	Passive	the actor catches the coffee.	a wire was smelled by a champion.
919	y	Passive	Active	the coffee is caught by the actor.	a champion smelled a wire.
919	x	Active	Active	the actor catches the coffee.	a champion smelled a wire.
920	x	Passive	Passive	the lawyer was killed by the brother.	a wire is accepted by a champion.
920	y	Active	Passive	the brother killed the lawyer.	a wire is accepted by a champion.
921	y	Passive	Active	the lawyer was killed by the brother.	a champion accepts a wire.
921	x	Active	Active	the brother killed the lawyer.	a champion accepts a wire.
922	x	Passive	Passive	the crystal was removed by the aunt.	a wire is accepted by a champion.
922	y	Active	Passive	the aunt removed the crystal.	a wire is accepted by a champion.
923	y	Passive	Active	the crystal was removed by the aunt.	a champion accepts a wire.
923	x	Active	Active	the aunt removed the crystal.	a champion accepts a wire.
924	x	Passive	Passive	the cheese was grabbed by the writer.	a wire is accepted by a champion.
924	y	Active	Passive	the writer grabbed the cheese.	a wire is accepted by a champion.
925	y	Passive	Active	the cheese was grabbed by the writer.	a champion accepts a wire.
925	x	Active	Active	the writer grabbed the cheese.	a champion accepts a wire.
926	x	Passive	Passive	the aunt was protected by the teacher.	a wire is accepted by a champion.
926	y	Active	Passive	the teacher protected the aunt.	a wire is accepted by a champion.
927	y	Passive	Active	the aunt was protected by the teacher.	a champion accepts a wire.
927	x	Active	Active	the teacher protected the aunt.	a champion accepts a wire.
928	x	Passive	Passive	the lady was chased by the opponent.	a wire is accepted by a champion.
928	y	Active	Passive	the opponent chased the lady.	a wire is accepted by a champion.
929	y	Passive	Active	the lady was chased by the opponent.	a champion accepts a wire.
929	x	Active	Active	the opponent chased the lady.	a champion accepts a wire.
930	x	Passive	Passive	the friend was chased by the minister.	a wire is accepted by a champion.
930	y	Active	Passive	the minister chased the friend.	a wire is accepted by a champion.
931	y	Passive	Active	the friend was chased by the minister.	a champion accepts a wire.
931	x	Active	Active	the minister chased the friend.	a champion accepts a wire.
932	x	Passive	Passive	the bowl was washed by the singer.	a wire is accepted by a champion.
932	y	Active	Passive	the singer washed the bowl.	a wire is accepted by a champion.
933	y	Passive	Active	the bowl was washed by the singer.	a champion accepts a wire.
933	x	Active	Active	the singer washed the bowl.	a champion accepts a wire.
934	x	Passive	Passive	the hat was raised by the buddy.	a wire is accepted by a champion.
934	y	Active	Passive	the buddy raised the hat.	a wire is accepted by a champion.
935	y	Passive	Active	the hat was raised by the buddy.	a champion accepts a wire.
935	x	Active	Active	the buddy raised the hat.	a champion accepts a wire.
936	x	Passive	Passive	the beer was raised by the priest.	a wire is accepted by a champion.
936	y	Active	Passive	the priest raised the beer.	a wire is accepted by a champion.
937	y	Passive	Active	the beer was raised by the priest.	a champion accepts a wire.
937	x	Active	Active	the priest raised the beer.	a champion accepts a wire.
938	x	Passive	Passive	the chocolate was purchased by the son.	a wire is accepted by a champion.
938	y	Active	Passive	the son purchased the chocolate.	a wire is accepted by a champion.
939	y	Passive	Active	the chocolate was purchased by the son.	a champion accepts a wire.
939	x	Active	Active	the son purchased the chocolate.	a champion accepts a wire.
940	x	Passive	Passive	a mother is understood by a guy.	the tea was wanted by the corporation.
940	y	Active	Passive	a guy understands a mother.	the tea was wanted by the corporation.
941	y	Passive	Active	a mother is understood by a guy.	the corporation wanted the tea.
941	x	Active	Active	a guy understands a mother.	the corporation wanted the tea.
942	x	Passive	Passive	a button is grabbed by a father.	the tea was wanted by the corporation.
942	y	Active	Passive	a father grabs a button.	the tea was wanted by the corporation.
943	y	Passive	Active	a button is grabbed by a father.	the corporation wanted the tea.
943	x	Active	Active	a father grabs a button.	the corporation wanted the tea.
944	x	Passive	Passive	a nurse is embraced by a cousin.	the tea was wanted by the corporation.
944	y	Active	Passive	a cousin embraces a nurse.	the tea was wanted by the corporation.
945	y	Passive	Active	a nurse is embraced by a cousin.	the corporation wanted the tea.
945	x	Active	Active	a cousin embraces a nurse.	the corporation wanted the tea.
946	x	Passive	Passive	a chocolate is purchased by an administration.	the tea was wanted by the corporation.
946	y	Active	Passive	an administration purchases a chocolate.	the tea was wanted by the corporation.
947	y	Passive	Active	a chocolate is purchased by an administration.	the corporation wanted the tea.
947	x	Active	Active	an administration purchases a chocolate.	the corporation wanted the tea.
948	x	Passive	Passive	a reader is struck by a pilot.	the tea was wanted by the corporation.
948	y	Active	Passive	a pilot strikes a reader.	the tea was wanted by the corporation.
949	y	Passive	Active	a reader is struck by a pilot.	the corporation wanted the tea.
949	x	Active	Active	a pilot strikes a reader.	the corporation wanted the tea.
950	x	Passive	Passive	a daughter is beaten by a singer.	the tea was wanted by the corporation.
950	y	Active	Passive	a singer beats a daughter.	the tea was wanted by the corporation.
951	y	Passive	Active	a daughter is beaten by a singer.	the corporation wanted the tea.
951	x	Active	Active	a singer beats a daughter.	the corporation wanted the tea.
952	x	Passive	Passive	a band is followed by an attorney.	the tea was wanted by the corporation.
952	y	Active	Passive	an attorney follows a band.	the tea was wanted by the corporation.
953	y	Passive	Active	a band is followed by an attorney.	the corporation wanted the tea.
953	x	Active	Active	an attorney follows a band.	the corporation wanted the tea.
954	x	Passive	Passive	a meal is destroyed by an uncle.	the tea was wanted by the corporation.
954	y	Active	Passive	an uncle destroys a meal.	the tea was wanted by the corporation.
955	y	Passive	Active	a meal is destroyed by an uncle.	the corporation wanted the tea.
955	x	Active	Active	an uncle destroys a meal.	the corporation wanted the tea.
956	x	Passive	Passive	a writer is helped by an administration.	the tea was wanted by the corporation.
956	y	Active	Passive	an administration helps a writer.	the tea was wanted by the corporation.
957	y	Passive	Active	a writer is helped by an administration.	the corporation wanted the tea.
957	x	Active	Active	an administration helps a writer.	the corporation wanted the tea.
958	x	Passive	Passive	a log is used by a writer.	the tea was wanted by the corporation.
958	y	Active	Passive	a writer uses a log.	the tea was wanted by the corporation.
959	y	Passive	Active	a log is used by a writer.	the corporation wanted the tea.
959	x	Active	Active	a writer uses a log.	the corporation wanted the tea.
960	x	Passive	Passive	a president was killed by a candidate.	the soldier is embraced by the scientist.
